timestamp,nodeid,temperature,humidity,voltage,light
1530930,7,22.2914,35.7148,2.48502,28.52
1531050,7,22.36,35.5764,2.48502,24.84
1531230,42,24.418,31.7016,2.49546,28.52
1531260,42,24.4278,31.7368,2.49546,28.52
1531290,11,21.9288,38.1213,2.4341,34.04
1531350,44,25.7312,29.9691,2.51661,28.52
1531380,7,22.5364,35.5072,2.49546,18.4
1531380,11,21.9484,37.9845,2.4341,28.52
1531410,7,22.5462,35.5072,2.48502,18.4
1531410,42,24.4572,31.6664,2.49546,23.0
1531410,44,25.692,29.9691,2.51661,24.84
1531440,7,22.556,35.5072,2.49546,17.48
1531470,6,22.409,36.1983,2.40453,28.52
1531470,10,22.2032,37.162,2.47467,23.0
1531470,13,22.0366,38.1213,2.45421,34.04
1531500,6,22.409,36.1983,2.40453,28.52
1531500,7,22.5658,35.5072,2.48502,16.56
1531500,10,22.2032,37.162,2.47467,21.16
1531500,11,21.9876,38.5311,2.42416,23.0
1531530,7,22.5658,35.5072,2.48502,16.56
1531590,6,22.3992,36.1983,2.40453,24.84
1531620,10,22.213,37.2307,2.47467,18.4
1531620,11,22.0562,38.5311,2.42416,18.4
1531620,42,24.4278,31.8776,2.49546,18.4
1531650,43,23.8986,33.1409,2.49546,34.04
1531680,6,22.3992,36.3362,2.40453,23.0
1531680,10,22.2228,37.2307,2.47467,16.56
1531680,11,22.066,38.4629,2.41431,16.56
1531680,43,23.879,33.3507,2.49546,34.04
1531710,9,22.556,36.3362,2.54901,34.04
1531740,43,23.879,33.4206,2.49546,34.04
1531770,43,23.8888,33.2808,2.49546,34.04
1531830,43,23.8692,33.2458,2.49546,34.04
1531860,9,22.605,36.4052,2.56,24.84
1531890,10,22.2914,37.3336,2.47467,28.52
1531950,9,22.6246,36.3707,2.54901,19.32
1532010,9,22.6344,36.3707,2.54901,16.56
1532010,10,22.311,37.3679,2.47467,28.52
1532100,6,22.5756,36.1983,2.40453,17.48
1532130,6,22.5756,36.1983,2.40453,17.48
1532160,6,22.5854,36.2673,2.40453,16.56
1532160,39,90.9208,137.512,0.00910083,9.20694e-11
1532250,44,25.2706,30.8901,2.51661,6.9
1532430,10,22.4188,37.4365,2.47467,24.84
1532580,10,22.4286,37.5051,2.47467,24.84
1532610,10,22.4286,37.5051,2.48502,24.84
1532760,10,22.458,38.0871,2.47467,23.0
1533000,10,22.4776,38.1897,2.47467,23.0
1533690,10,22.556,37.7792,2.48502,23.0
1533810,54,23.0754,35.9221,2.47467,0.0201102
1533930,54,23.0754,35.9221,2.48502,0.0201102
1533960,10,22.605,37.7107,2.48502,23.0
