timestamp,nodeid,dt,datetime
1514280,17,1970-01-18 12:38:00,1970-01-18 12:38:00
1514280,21,1970-01-18 12:38:00,1970-01-18 12:38:00
1514340,17,1970-01-18 12:39:00,1970-01-18 12:39:00
1514340,21,1970-01-18 12:39:00,1970-01-18 12:39:00
1514340,22,1970-01-18 12:39:00,1970-01-18 12:39:00
1514490,13,1970-01-18 12:41:30,1970-01-18 12:41:30
1514490,17,1970-01-18 12:41:30,1970-01-18 12:41:30
1514490,21,1970-01-18 12:41:30,1970-01-18 12:41:30
1514520,17,1970-01-18 12:42:00,1970-01-18 12:42:00
1514520,21,1970-01-18 12:42:00,1970-01-18 12:42:00
1514550,46,1970-01-18 12:42:30,1970-01-18 12:42:30
1515090,12,1970-01-18 12:51:30,1970-01-18 12:51:30
1515090,17,1970-01-18 12:51:30,1970-01-18 12:51:30
1515090,48,1970-01-18 12:51:30,1970-01-18 12:51:30
1515210,16,1970-01-18 12:53:30,1970-01-18 12:53:30
1515210,19,1970-01-18 12:53:30,1970-01-18 12:53:30
1515270,17,1970-01-18 12:54:30,1970-01-18 12:54:30
1515270,19,1970-01-18 12:54:30,1970-01-18 12:54:30
1515270,21,1970-01-18 12:54:30,1970-01-18 12:54:30
1515270,22,1970-01-18 12:54:30,1970-01-18 12:54:30
1515300,17,1970-01-18 12:55:00,1970-01-18 12:55:00
1515300,21,1970-01-18 12:55:00,1970-01-18 12:55:00
1515360,12,1970-01-18 12:56:00,1970-01-18 12:56:00
1515360,17,1970-01-18 12:56:00,1970-01-18 12:56:00
1515360,19,1970-01-18 12:56:00,1970-01-18 12:56:00
1515360,21,1970-01-18 12:56:00,1970-01-18 12:56:00
1515390,17,1970-01-18 12:56:30,1970-01-18 12:56:30
1515390,19,1970-01-18 12:56:30,1970-01-18 12:56:30
1515390,21,1970-01-18 12:56:30,1970-01-18 12:56:30
1515420,12,1970-01-18 12:57:00,1970-01-18 12:57:00
1515420,14,1970-01-18 12:57:00,1970-01-18 12:57:00
1515420,17,1970-01-18 12:57:00,1970-01-18 12:57:00
1515420,21,1970-01-18 12:57:00,1970-01-18 12:57:00
1515450,16,1970-01-18 12:57:30,1970-01-18 12:57:30
1515450,17,1970-01-18 12:57:30,1970-01-18 12:57:30
1515450,21,1970-01-18 12:57:30,1970-01-18 12:57:30
1515450,22,1970-01-18 12:57:30,1970-01-18 12:57:30
1515480,25,1970-01-18 12:58:00,1970-01-18 12:58:00
1516440,41,1970-01-18 13:14:00,1970-01-18 13:14:00
1518840,16,1970-01-18 13:54:00,1970-01-18 13:54:00
1518870,38,1970-01-18 13:54:30,1970-01-18 13:54:30
1519170,16,1970-01-18 13:59:30,1970-01-18 13:59:30
1519260,16,1970-01-18 14:01:00,1970-01-18 14:01:00
1519260,19,1970-01-18 14:01:00,1970-01-18 14:01:00
1519260,21,1970-01-18 14:01:00,1970-01-18 14:01:00
1519320,13,1970-01-18 14:02:00,1970-01-18 14:02:00
1519320,16,1970-01-18 14:02:00,1970-01-18 14:02:00
1521810,25,1970-01-18 14:43:30,1970-01-18 14:43:30
1524570,14,1970-01-18 15:29:30,1970-01-18 15:29:30
1524570,16,1970-01-18 15:29:30,1970-01-18 15:29:30
1524660,17,1970-01-18 15:31:00,1970-01-18 15:31:00
1524660,22,1970-01-18 15:31:00,1970-01-18 15:31:00
1525350,16,1970-01-18 15:42:30,1970-01-18 15:42:30
1525770,13,1970-01-18 15:49:30,1970-01-18 15:49:30
1525770,17,1970-01-18 15:49:30,1970-01-18 15:49:30
1525830,14,1970-01-18 15:50:30,1970-01-18 15:50:30
1525830,17,1970-01-18 15:50:30,1970-01-18 15:50:30
1526550,16,1970-01-18 16:02:30,1970-01-18 16:02:30
1526760,11,1970-01-18 16:06:00,1970-01-18 16:06:00
1526760,16,1970-01-18 16:06:00,1970-01-18 16:06:00
1526790,13,1970-01-18 16:06:30,1970-01-18 16:06:30
1526790,14,1970-01-18 16:06:30,1970-01-18 16:06:30
1526790,16,1970-01-18 16:06:30,1970-01-18 16:06:30
1526820,17,1970-01-18 16:07:00,1970-01-18 16:07:00
1526850,17,1970-01-18 16:07:30,1970-01-18 16:07:30
1526850,19,1970-01-18 16:07:30,1970-01-18 16:07:30
1526850,21,1970-01-18 16:07:30,1970-01-18 16:07:30
1526880,12,1970-01-18 16:08:00,1970-01-18 16:08:00
1526880,13,1970-01-18 16:08:00,1970-01-18 16:08:00
1526880,17,1970-01-18 16:08:00,1970-01-18 16:08:00
1526880,21,1970-01-18 16:08:00,1970-01-18 16:08:00
1526970,16,1970-01-18 16:09:30,1970-01-18 16:09:30
1527000,11,1970-01-18 16:10:00,1970-01-18 16:10:00
1527000,16,1970-01-18 16:10:00,1970-01-18 16:10:00
1527000,19,1970-01-18 16:10:00,1970-01-18 16:10:00
1527240,12,1970-01-18 16:14:00,1970-01-18 16:14:00
1527240,17,1970-01-18 16:14:00,1970-01-18 16:14:00
1527240,21,1970-01-18 16:14:00,1970-01-18 16:14:00
1527420,13,1970-01-18 16:17:00,1970-01-18 16:17:00
1527420,17,1970-01-18 16:17:00,1970-01-18 16:17:00
1527420,23,1970-01-18 16:17:00,1970-01-18 16:17:00
1527660,12,1970-01-18 16:21:00,1970-01-18 16:21:00
1527660,17,1970-01-18 16:21:00,1970-01-18 16:21:00
