timestamp,nodeid,temperature_anomaly,humidity_anomaly,voltage_anomaly
1207,13,1,1,0
1207,35,0,0,1
1211,30,1,1,0
1230,46,1,1,1
1257,49,1,1,1
1258,6,0,0,1
1265,13,1,1,0
1268,13,1,1,1
1275,46,1,1,1
1278,25,1,1,0
1285,30,1,1,0
1286,44,1,1,0
1290,4,0,0,1
1317,17,1,1,1
1323,25,1,1,0
1342,28,0,0,1
1356,46,1,1,1
1372,25,1,1,0
1381,48,1,1,0
1393,47,1,1,0
1428,25,1,1,0
1458,19,1,1,1
1463,25,1,1,0
1464,30,1,1,0
1467,30,1,1,0
1482,25,1,1,0
1487,28,1,1,0
1492,40,0,0,1
1515,17,1,1,1
1518,17,1,1,1
1521,17,1,1,1
1522,21,1,1,0
1523,17,1,1,1
1524,17,1,1,1
1525,25,1,1,0
1534,16,1,1,1
1555,16,1,1,1
