timestamp,nodeid,temperature_anomaly,humidity_anomaly,voltage_anomaly
1211,30,1,0,0
1216,12,0,0,1
1237,28,0,0,1
1251,28,0,0,1
1258,28,0,0,1
1260,28,0,0,1
1275,46,1,0,0
1278,25,1,1,0
1307,38,1,1,0
1355,16,1,0,0
1378,25,1,1,0
1419,41,0,0,1
1428,25,1,1,0
1463,25,1,1,0
1516,17,1,1,0
1518,17,1,1,0
1521,17,1,1,0
1522,21,1,1,0
1523,17,1,1,0
1524,17,1,1,0
1525,19,1,1,0
1526,17,1,1,0
1527,28,0,0,1
1528,25,1,1,0
1529,25,1,1,0
1530,25,1,1,0
1531,25,1,1,0
1532,25,1,1,0
1533,25,1,1,0
1534,16,1,0,0
1535,25,1,1,0
1536,25,1,1,0
1537,25,1,1,0
1538,25,1,1,0
1539,25,1,1,0
1540,25,1,1,0
1541,25,1,1,0
1542,25,1,1,0
1543,25,1,1,0
1544,25,1,1,0
1545,25,1,1,0
1546,25,1,1,0
1547,25,1,1,0
1548,25,1,1,0
1549,25,1,1,0
1550,25,1,1,0
1551,25,1,1,0
1552,25,1,1,0
1553,25,1,1,0
1554,25,1,1,0
1555,25,1,1,0
1556,25,1,1,0
1557,25,1,1,0
1558,25,1,1,0
1559,25,1,1,0
